LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
ID124317_ID124129,2,124317,124129,0.004458794,0.622531181,0.01335484,0.066774201,232.5,338.8898371,19.25385548,0,
ID112137_ID114463,2,112137,114463,0.002280479,0.444258781,0.009550871,0.047754356,67.5,338.7813723,18.93473728,0,
ID114157_ID115416,2,114157,115416,0.11531789,0.605083045,0.067916976,0.339584879,87.5,338.6596606,18.76767392,0,
ID115719_ID117278,2,115719,117278,0.083363819,0.627774554,0.057745586,0.288727932,107.5,338.8238696,18.92291059,0,
ID111294_ID111574,2,111294,111574,0.076489516,0.579820376,0.055313476,0.276567381,17.5,338.4258262,18.12434392,0,
ID120996_ID120489,2,120996,120489,0.069328371,0.573437736,0.052660562,0.263302812,182.5,338.8510124,19.01009428,0,
ID118221_ID118826,2,118221,118826,0.011281075,0.041311762,0.021242481,0.106212404,127.5,338.7842851,18.96486935,0,
ID122021_ID121257,2,122021,121257,0.039570908,0.540115315,0.039784876,0.198924378,157.5,338.562012,18.79373975,0,
ID114779_ID116644,2,114779,116644,0.011160052,0.218286279,0.021128229,0.105641146,97.5,338.7251639,18.84259052,0,
ID121257_ID119711,2,121257,119711,0.124613052,0.6230844,0.070601148,0.353005739,162.5,338.6230929,18.84081852,0,
ID122559_ID122810,2,122559,122810,0.003270968,0.137406238,0.011438476,0.057192379,207.5,338.8857961,19.27363919,0,
ID113603_ID113014,2,113603,113014,0.008930393,0.372719387,0.018900151,0.094500757,32.5,338.5053867,18.5892632,0,
ID111863_ID113884,2,111863,113884,0.163426578,NaN,0.080852106,0.404260532,7.5,337.3623935,18.28034648,0,
ID113014_ID112453,2,113014,112453,0.066956064,0.46026696,0.05175174,0.258758699,37.5,338.5625407,18.6761349,0,
ID116033_ID116340,2,116033,116340,6.71E-04,0.223264402,0.005179896,0.025899479,47.5,338.7738318,18.79697628,0,
ID121536_ID120669,2,121536,120669,0.006979669,0.550689909,0.016708883,0.083544414,172.5,338.8622813,19.04171044,0,
ID123290_ID124317,2,123290,124317,0.004982847,0.388163679,0.014117857,0.070589285,227.5,338.8883365,19.25539613,0,
ID115092_ID114157,2,115092,114157,0.062813728,0.076856807,0.050125334,0.25062667,82.5,338.6423811,18.72332675,0,
ID122810_ID123053,2,122810,123053,0.057165696,0.369307603,0.047818698,0.239093489,212.5,338.7787257,19.23140637,0,
ID120489_ID120244,2,120489,120244,0.016217775,0.467348129,0.025469805,0.127349027,187.5,338.8641424,19.10803238,0,
ID116950_ID115092,2,116950,115092,0.022161001,0.474015656,0.029773143,0.148865714,77.5,338.7620034,18.87898187,0,
ID111574_ID113603,2,111574,113603,0.306388016,0.230008751,0.055352328,0.553523275,25,338.421614,18.33576227,0,
ID117903_ID117596,2,117903,117596,0.002041232,0.607162339,0.009035999,0.045179993,117.5,338.7698376,18.85347739,0,
ID117596_ID118221,2,117596,118221,0.005897813,0.478457196,0.015359444,0.076797222,122.5,338.7583469,18.87761317,0,
ID120669_ID120996,2,120669,120996,0.019206616,0.204896462,0.027717587,0.138587936,177.5,338.7981496,18.96794472,0,
ID119423_ID119976,2,119423,119976,7.34E-04,0.122327786,0.005419287,0.027096437,147.5,338.6388194,18.83217624,0,
