LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID116033,116033,2,50.36312103,338.7715941,18.78422134,0,45,9,1.2,1,,209.8918919,255,34,255,7766,78.51000778,0.241152925,1.038885956
ID121536,121536,2,44.3962326,338.9031834,19.05019186,0,170,34,1.2,1,,192.0810811,255,17,255,7107,84.09365757,0.242388207,0.891262246
ID113603,113603,2,49.52158737,338.5517266,18.58003202,0,30,6,1.2,1,,197.2972973,255,21,255,7300,83.04010573,0.228582026,0.884099529
ID112453,112453,2,52.38714218,338.6660345,18.75377542,0,40,8,1.2,1,,209.8378378,255,42,255,7764,78.17129109,0.245295562,1.05750825
ID118532,118532,2,48.58414459,338.7746622,18.94223725,0,135,27,1.2,1,,187.8108108,255,6,255,6949,86.05096611,0.249790567,0.872436093
ID115719,115719,2,46.79988861,338.9173105,19.03295495,0,105,21,1.2,1,,198.5405405,255,38,255,7346,74.61404194,0.217446484,0.950519736
ID122310,122310,2,44.50831604,338.7684064,18.96145159,0,195,39,1.2,1,,194.9459459,255,29,255,7213,78.65075614,0.249817323,0.990871441
ID112137,112137,2,51.18289948,338.8051988,18.93629169,0,65,13,1.2,1,,212.4594595,255,32,255,7861,73.43575976,0.270114875,1.230563345
ID118221,118221,2,47.08485794,338.7648057,18.91546468,0,125,25,1.2,1,,220.2432432,255,40,255,8149,66.61389803,0.32354126,1.616441267
ID117903,117903,2,48.56842804,338.7877872,18.86719312,0,115,23,1.2,1,,215.6486486,255,0,255,7979,75.76616667,0.304241877,1.327890527
ID110997,110997,2,51.97562027,338.7447212,18.77259374,0,55,11,1.2,1,,211.6486486,255,38,255,7831,74.55468396,0.264900662,1.189041975
ID115092,115092,2,49.06820679,338.7320892,18.81082475,0,80,16,1.2,1,,212.5945946,255,32,255,7866,72.84323329,0.272360423,1.249472918
ID111574,111574,2,34.23265076,338.2915014,18.09149252,0,20,4,1.2,1,,167.3513514,174,78,255,6192,49.16311638,0.263989127,1.421878597
ID116950,116950,2,49.25959778,338.7919175,18.94713898,0,75,15,1.2,1,,183.1621622,255,6,255,6777,88.13862614,0.215094909,0.735731603
ID123929,123929,2,51.89663696,338.8418674,19.22256215,0,240,48,1.2,1,,202.7297297,255,29,255,7501,81.46493746,0.266047792,1.04589062
ID115416,115416,2,49.04929733,338.7666481,18.89951909,0,90,18,1.2,1,,215.9459459,255,40,255,7990,68.86699982,0.293655604,1.423585338
ID114779,114779,2,47.84599686,338.7390623,18.89354979,0,95,19,1.2,1,,218.5675676,255,25,255,8087,67.23984456,0.291181336,1.46610579
ID123290,123290,2,52.06874847,338.8549779,19.26692504,0,225,45,1.2,1,,202.4054054,255,2,255,7489,86.24108954,0.265876445,0.985885347
ID123738,123738,2,49.80847931,338.8022755,19.15375948,0,245,49,1.2,1,,205.6756757,255,14,255,7610,80.0437568,0.257988037,1.053922124
ID120669,120669,2,44.94762802,338.8213792,19.03322901,0,175,35,1.2,1,,197.7837838,255,0,255,7318,79.09106395,0.261430815,1.036541274
ID124317,124317,2,51.17114258,338.9216951,19.24386722,0,230,46,1.2,1,,215.6216216,255,64,255,7978,67.07762972,0.258222529,1.319414549
ID113884,113884,2,17.71454811,337.5247335,18.15992074,0,10,2,1.2,1,,64.81081081,70,12,121,2398,29.82806084,0.324337188,1.064267017
ID117596,117596,2,47.91193008,338.751888,18.83976166,0,120,24,1.2,1,,216.8648649,255,19,255,8024,72.12033238,0.317972719,1.450924825
