LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
ID40864_ID35784,0,40864,35784,3.169282672,0.488526244,0.356049585,1.780247924,2.5,345.3859999,151.9650159,0,
ID35784_ID39992,0,35784,39992,3.922759022,0.600435115,0.396119125,1.980595623,3.5,345.5016617,152.0823318,0,
ID39280_ID37889,0,39280,37889,20.07907142,NaN,0.896193538,4.480967688,0.5,343.4702417,152.2050552,0,
ID37889_ID40864,0,37889,40864,10.40371895,0.42287132,0.645095929,3.225479646,1.5,345.2505102,153.0499365,0,
ID35793_ID39998,1,35793,39998,1.741692506,0.101368943,0.263946397,1.319731983,3.5,21.60088506,154.6204417,0,
ID40876_ID35793,1,40876,35793,0.495747084,0.217096074,0.140818619,0.704093094,2.5,20.63199147,154.784155,0,
ID37890_ID40876,1,37890,40876,0.429436292,0.02104977,0.131062778,0.655313888,1.5,20.04996402,154.7715413,0,
ID39293_ID37890,1,39293,37890,8.489961592,NaN,0.582750773,2.913753866,0.5,18.6545757,153.6615099,0,
ID39309_ID37893,4,39309,37893,3.636318907,NaN,0.38138269,1.90691345,0.5,451.2861029,156.312293,0,
ID40002_ID48407,4,40002,48407,0.945626792,0.422053533,0.194486688,0.972433439,4.5,453.4656158,156.1400361,0,
ID37893_ID40903,4,37893,40903,4.265298727,0.545765276,0.413051993,2.065259966,1.5,451.6903261,156.4031257,0,
ID35795_ID40002,4,35795,40002,0.773144281,0.467946437,0.175857247,0.879286234,3.5,453.0123568,156.071936,0,
ID40903_ID35795,4,40903,35795,4.183469654,0.488850359,0.409070637,2.045353186,2.5,452.3801423,156.5347136,0,
ID37894_ID40887,5,37894,40887,0.039990506,0.589473074,0.039995253,0.199976263,1.5,44.90840657,155.947873,0,
ID40887_ID35796,5,40887,35796,0.022921689,0.458968174,0.030279821,0.151399106,2.5,44.95015204,155.8849638,0,
ID47020_ID46336,5,47020,46336,0.098244123,0.627841573,0.062687837,0.313439185,6.5,44.81201094,155.8283684,0,
ID35796_ID39999,5,35796,39999,0.012959289,0.049986598,0.022767775,0.113838875,3.5,44.86024709,155.7888537,0,
