LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID40864,40864,0,26.37928963,346.2590368,151.7914438,0,2,2,1.25,1,,63.18918919,60,5,212,2338,49.24306936,0.574185021,0.936103236
ID39280,39280,0,17.26538086,342.6984999,150.1016811,0,0,0,1.25,1,,39.75675676,22,5,149,1471,39.77464673,0.547365345,0.707162211
ID37889,37889,0,24.08959198,344.2419836,154.3084292,0,1,1,1.25,1,,57.64864865,20,5,255,2133,81.30642185,0.719654075,0.593440215
ID35784,35784,0,9.61009407,344.512963,152.1385881,0,3,3,1.25,1,,32.51351351,24,5,99,1203,26.37193544,0.354087306,0.644785981
ID39992,39992,0,8.460700989,346.4903603,152.0260755,0,4,4,1.25,1,,31.59459459,19,5,116,1169,27.9030658,0.313599309,0.540633615
ID35793,35793,1,44.62854004,20.94103719,154.6155504,0,3,3,1.25,1,,78.81081081,40,5,255,2916,87.84482462,0.57774026,0.657047452
ID37890,37890,1,56.1333046,19.7769823,154.5903231,0,1,1,1.25,1,,86.64864865,38,5,255,3206,96.81173489,0.778243419,0.783408057
ID40876,40876,1,49.57896042,20.32294574,154.9527596,0,2,2,1.25,1,,91.81081081,57,5,255,3397,91.12867515,0.566865189,0.72898219
ID39293,39293,1,36.66473007,17.53216911,152.7326968,0,0,0,1.25,1,,71.67567568,43,5,255,2652,79.51381922,0.659555236,0.716504031
ID39998,39998,1,42.06242752,22.26073292,154.6253331,0,4,4,1.25,1,,92.27027027,45,3,255,3414,81.45504849,0.476194289,0.730826764
ID40002,40002,4,66.4626236,453.1330168,156.4946974,0,4,4,1.25,1,,114.0810811,69,5,255,4221,103.2341939,0.761145076,0.955195707
ID35795,35795,4,51.67424774,452.8916967,155.6491745,0,3,3,1.25,1,,110.2432432,87,6,255,4079,87.35031813,0.621415111,0.967397765
ID37893,37893,4,32.21914673,451.5120643,155.3859987,0,1,1,1.25,1,,55.64864865,27,5,255,2059,71.28745262,0.737498437,0.662686623
ID40903,40903,4,23.64178276,451.8685879,157.4202527,0,2,2,1.25,1,,47.48648649,34,5,167,1757,45.0854877,0.629779139,0.813996949
ID48407,48407,4,9.683602333,453.7982147,155.7853748,0,5,5,1.25,1,,42.45945946,24,5,249,1571,54.41792729,0.242779605,0.30484603
ID39309,39309,4,31.80754662,451.0601415,157.2385873,0,0,0,1.25,1,,59.51351351,20,5,255,2202,81.10474079,0.728401881,0.618480019
ID46336,46336,5,8.694521904,44.95420827,155.8942543,0,7,7,1.25,1,,23.64864865,6,5,179,875,35.12376231,0.600257396,0.505106517
ID35796,35796,5,13.84588528,44.89282166,155.8355305,0,3,3,1.25,1,,28.89189189,12,5,123,1069,35.23948526,0.62460863,0.63042822
ID37894,37894,5,7.367303371,44.80933072,155.961349,0,1,1,1.25,1,,22.21621622,5,5,139,822,33.82318003,0.526134381,0.452886691
ID48406,48406,5,8.215475082,44.8689845,155.8553442,0,5,5,1.25,1,,21.43243243,5,3,144,793,31.6618773,0.518981954,0.462556129
ID40887,40887,5,11.22017765,45.00748242,155.934397,0,2,2,1.25,1,,24.97297297,10,5,116,924,28.79379417,0.571230634,0.630627491
ID39303,39303,5,10.9109621,44.91727284,155.9677293,0,0,0,1.25,1,,27.27027027,5,5,148,1009,36.81232331,0.61460332,0.56396905
ID43527,43527,5,31.12907028,45.65487816,158.3408023,0,8,8,1.25,1,,64.64864865,29,5,255,2392,77.20291309,0.650398168,0.660003647
ID47735,47735,5,15.73016167,48.39494245,158.1044255,0,10,10,1.25,1,,33.97297297,24,5,109,1257,30.61634139,0.591073971,0.824445062
ID47020,47020,5,11.34970665,44.66981361,155.7624825,0,6,6,1.25,1,,28.24324324,6,5,168,1045,39.6368273,0.646005309,0.559307358
ID41421,41421,5,29.61645889,47.75633295,158.2118927,0,9,9,1.25,1,,63.7027027,40,3,255,2357,69.65265603,0.704654122,0.756118555
ID39999,39999,5,8.4208498,44.82767252,155.7421769,0,4,4,1.25,1,,23.56756757,12,5,114,872,29.52262837,0.506406257,0.536718654
ID35794,35794,8,44.17341614,377.0077304,154.7952876,0,3,3,1.25,1,,100.5405405,92,8,255,3720,66.96043384,0.632546913,1.163536531
ID39301,39301,8,17.48965263,378.363911,155.2628142,0,0,0,1.25,1,,61.97297297,57,8,135,2293,36.50379469,0.416662853,0.998648353
ID47017,47017,8,12.08304787,377.0842881,154.7937302,0,6,6,1.25,1,,32.56756757,19,5,203,1205,39.25807811,0.50109866,0.553860366
ID37898,37898,8,12.02645588,377.9438719,156.5311565,0,1,1,1.25,1,,43.89189189,45,5,121,1624,29.85314406,0.340717554,0.747276686
ID40013,40013,8,23.34092331,375.6815629,158.8950412,0,4,4,1.25,1,,65.78378378,50,5,224,2434,57.47131417,0.557755384,0.819676016
