LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Track_10077,2202,2202,5,0,0,0,0,0,20,150,170,2.338181781,370.7465155,20.03298646,0,0.23564842,0.364873673,0.081828977,0.264807729,0.117232949,27.04374657,4.712968408,2.338181781,0.496116583,0.116909089,0.496116583,0.336117919
Track_10079,2204,2204,18,0,0,0,0,0,85,155,240,2.760036141,422.4018571,25.91592676,0,0.154370274,0.331667364,0.052952474,0.122720613,0.075481248,10.38681987,13.12147332,2.786475085,0.210344987,0.032471013,0.210344987,0.297915338
Track_10080,2205,2205,14,0,0,0,0,0,65,155,220,9.168545569,282.1264058,26.21336901,0,0.352367569,0.738780743,0.001571924,0.374964178,0.217034621,18.19329102,22.90389196,9.168545569,0.400305135,0.141054547,0.400305135,0.328249887
Track_10081,2206,2206,5,0,0,0,0,0,20,150,170,2.513951835,310.474934,26.08263869,0,0.589546182,0.730054883,0.383232425,0.696815868,0.158675941,11.87516727,11.79092363,3.692642828,0.213210764,0.125697592,0.213210764,0.375895543
Track_10082,2207,2207,16,0,0,0,0,0,75,150,225,3.071054638,278.4799166,30.26082158,0,0.556028387,0.902714034,0.11969736,0.573207209,0.226947286,43.12008405,41.702129,6.626853549,0.073642634,0.040947395,0.073642634,0.397155848
Track_10084,2209,2209,7,0,0,0,0,0,30,155,185,3.642534142,92.45548544,33.0179409,0,0.422185834,0.659134809,0.242388941,0.449867034,0.150893607,65.38103717,12.66557501,4.2053744,0.287593271,0.121417805,0.287593271,0.28082928
Track_10087,2212,2212,22,0,0,0,0,0,105,145,250,3.534202187,155.1158825,36.82507165,0,0.428563061,1.180551102,0.121815211,0.390705495,0.230465548,42.04926955,44.99912137,6.011379555,0.07853936,0.033659068,0.07853936,0.327245009
Track_10088,2213,2213,10,0,0,0,0,0,45,150,195,3.12719528,231.7250648,32.58398581,0,0.488121986,0.853469934,0.251549955,0.4427294,0.166990849,35.91902504,21.96548939,4.863854882,0.142368568,0.069493228,0.142368568,0.354924139
Track_10093,2218,2218,5,0,0,0,0,0,20,145,165,2.596241625,144.7924216,37.07405568,0,0.192725566,0.389091157,0.080811604,0.16345537,0.135383301,25.92216339,3.854511323,2.931081348,0.673559216,0.129812081,0.673559216,0.312250477
Track_10094,2219,2219,6,0,0,0,0,0,25,160,185,5.552330297,348.9325196,35.47771562,0,0.626308766,0.84028982,0.490697413,0.639932787,0.139313248,20.23382457,15.65771914,5.954971889,0.354606584,0.222093212,0.354606584,0.268775036
