LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
ID41710_ID42087,13,41710,42087,21.80584325,0.12352187,1.556557571,4.669672714,37.5,15.31249647,197.4852309,0,
ID44764_ID44315,13,44764,44315,43.01691076,0.048732996,2.18624261,6.558727831,100.5,1.341397806,198.8297918,0,
ID46292_ID46132,13,46292,46132,18.48865361,0.002070332,1.433281147,4.29984344,136.5,46.88767802,199.6581154,0,
ID41782_ID41383,13,41782,41383,24.28778739,0.252948386,1.642754712,4.928264136,22.5,15.34034384,193.8935047,0,
ID42339_ID41893,13,42339,41893,7.914013546,0.95465129,0.937728553,2.813185658,43.5,17.54119752,198.4853933,0,
ID43066_ID42944,13,43066,42944,0.864961075,0.202178106,0.310010945,0.930032835,67.5,1.755048841,196.6401431,0,
ID44630_ID44936,13,44630,44936,18.7448789,0.081288501,1.443178548,4.329535644,109.5,10.31691696,201.4003944,0,
ID43878_ID44630,13,43878,44630,14.67241361,0.040837216,1.276819556,3.830458668,106.5,6.341290197,202.1720305,0,
ID42174_ID41526,13,42174,41526,12.6177448,0.926715536,1.184048835,3.552146506,55.5,7.84976831,200.8484063,0,
ID45078_ID45223,13,45078,45223,9.339222334,8.55E-04,1.018671375,3.056014125,115.5,17.87445887,200.5229118,0,
ID42012_ID41710,13,42012,41710,11.44485226,1.028623227,1.12767471,3.38302413,34.5,11.49488993,196.4358445,0,
ID45516_ID46450,13,45516,46450,18.57652576,0.048559843,1.436683131,4.310049392,130.5,37.37605137,199.4981829,0,
ID41841_ID41335,13,41841,41335,8.004090359,0.675021058,0.943050038,2.829150113,16.5,8.616855008,196.1318656,0,
ID41335_ID41782,13,41335,41782,13.15068755,0.081397525,1.208795891,3.626387672,19.5,11.41933119,194.5786648,0,
ID42944_ID43724,13,42944,43724,5.130670486,0.202936811,0.75503278,2.265098339,70.5,1.88244852,195.1082371,0,
ID42087_ID42339,13,42087,42339,3.950372149,0.345104387,0.662518105,1.987554314,40.5,18.0400207,198.6546622,0,
ID43230_ID43582,13,43230,43582,0.775334898,1.047197551,0.293510344,0.880531032,82.5,1.879513138,193.9642422,0,
ID43442_ID44013,13,43442,44013,0.00E+00,0,0,0,91.5,1.779636369,193.5354551,0,
