LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID42627,42627,13,58.5681839,5.946240274,201.9107122,0,60,20,1.25,1,,217.1081081,229,122,255,8033,45.91283032,0.379978192,2.604104582
ID46596,46596,13,24.22462654,71.57420973,196.7559844,0,153,51,1.25,1,,130.3243243,129,101,169,4822,20.85672561,0.227757365,2.318297849
ID44936,44936,13,59.26693726,12.38102767,200.747963,0,111,37,1.25,1,,240,255,177,255,8880,23.01207413,0.410880984,6.074508377
ID47119,47119,13,19.6610527,75.73569463,197.1009116,0,156,52,1.25,1,,121,119,99,150,4477,16.24294719,0.195717815,2.438665265
ID41488,41488,13,21.8535862,10.23290912,193.5354551,0,9,3,1.25,1,,251.4324324,255,202,255,9303,11.89663944,0.100657289,3.865628458
ID45969,45969,13,32.94805145,53.43000419,199.2704083,0,141,47,1.25,1,,141.0810811,147,96,194,5220,28.89288492,0.301910975,2.264672881
ID45078,45078,13,59.19415283,16.34761916,200.5826283,0,114,38,1.25,1,,237.7297297,255,166,255,8796,26.90172304,0.408621499,5.126964319
ID42519,42519,13,41.61480713,10.96642825,196.2294268,0,30,10,1.25,1,,225.3783784,233,156,255,8339,31.38148016,0.232890045,2.71328492
ID42266,42266,13,56.45965195,9.583295727,202.4461014,0,51,17,1.25,1,,184.1621622,180,88,255,6814,61.01616977,0.349516014,1.563415796
ID43163,43163,13,4.401250362,1.779636369,193.5354551,0,78,26,1.25,1,,70.16216216,74,10,86,2596,18.03162887,0.033660475,0.253419677
ID44315,44315,13,25.11397171,0.887887629,202.0776459,0,102,34,1.25,1,,112.4864865,106,0,255,4162,72.89170873,0.248851505,0.615009304
ID42012,42012,13,21.81066322,9.997252189,195.6495276,0,33,11,1.25,1,,144.0540541,136,95,232,5330,40.52841661,0.117586988,0.747952075
ID47778,47778,13,13.36030579,80.11291709,196.6907387,0,159,53,1.25,1,,107.027027,108,89,127,3960,10.65751296,0.146950329,2.573318491
ID41636,41636,13,54.86882401,13.83499626,199.915064,0,48,16,1.25,1,,217.3783784,228,127,255,8043,40.60196448,0.341885372,2.728125811
ID41893,41893,13,28.45246315,16.63481892,197.4097627,0,45,15,1.25,1,,162.4054054,163,120,205,6009,24.37947618,0.21665559,2.372511623
ID44453,44453,13,12.69580841,1.779636369,193.5354551,0,96,32,1.25,1,,111.3783784,113,15,166,4121,33.89882934,0.040385328,0.255079514
ID41383,41383,13,37.13111115,17.778324,194.2515544,0,24,8,1.25,1,,206.3513514,219,144,255,7635,43.28857703,0.247116936,1.889119091
ID45223,45223,13,58.67179108,19.40129859,200.4631952,0,117,39,1.25,1,,234.2162162,255,147,255,8666,33.44907833,0.405986568,4.04383377
ID42417,42417,13,29.89785194,7.37892256,197.980914,0,3,1,1.25,1,,210.3243243,210,158,255,7782,32.95203084,0.134757672,1.515959796
ID43442,43442,13,11.8554306,1.779636369,193.5354551,0,90,30,1.25,1,,106.2432432,109,15,158,3931,33.27612207,0.039982755,0.24549643
ID46771,46771,13,16.94373703,67.59132366,197.1613555,0,150,50,1.25,1,,109.1351351,109,89,136,4038,14.06959322,0.186395076,2.437351386
ID46132,46132,13,28.6852684,49.03668871,199.5955338,0,138,46,1.25,1,,131.3243243,128,85,181,4859,26.68962975,0.276253917,2.130119549
ID41782,41782,13,5.285718441,12.90236367,193.5354551,0,21,7,1.25,1,,159.4594595,143,118,234,5900,37.19886094,0.072509701,0.579622891
ID41526,41526,13,56.89548111,8.193971689,202.590807,0,57,19,1.25,1,,176.1081081,186,74,255,6516,66.38221975,0.371891095,1.438314037
ID43066,43066,13,5.767687798,1.524837012,197.0441763,0,66,22,1.25,1,,60.45945946,67,0,93,2237,23.66266937,0.048798593,0.237763797
ID45370,45370,13,59.00025177,23.34844578,200.3875965,0,120,40,1.25,1,,233.3783784,253,132,255,8635,35.65603529,0.402925507,3.759652558
ID42174,42174,13,53.97457504,7.505564931,199.1060055,0,54,18,1.25,1,,242.9459459,255,179,255,8989,21.59725541,0.361247823,5.970478353
ID43582,43582,13,9.582294464,1.779636369,193.5354551,0,84,28,1.25,1,,92.18918919,95,13,132,3411,27.54979112,0.066716858,0.418579645
ID42944,42944,13,55.55638504,1.985260671,196.23611,0,69,23,1.25,1,,229.7837838,254,66,255,8502,50.24890001,0.345562666,2.348798173
ID47302,47302,13,33.25507736,63.27284565,198.2071435,0,147,49,1.25,1,,144.9189189,137,89,202,5362,32.56990634,0.293531627,2.019372426
ID43724,43724,13,4.760611534,1.779636369,193.9803642,0,72,24,1.25,1,,56.64864865,60,9,66,2096,13.94675633,0.048684558,0.377131402
ID45516,45516,13,31.63025284,35.24840575,199.155757,0,129,43,1.25,1,,136.0540541,134,85,191,5034,29.80766675,0.29547656,2.082125845
ID46292,46292,13,25.62657928,44.73866733,199.720697,0,135,45,1.25,1,,123.1081081,118,86,169,4555,25.04083752,0.25800735,2.016585786
ID42453,42453,13,26.25513649,16.09020407,195.4536821,0,27,9,1.25,1,,237.7027027,255,152,255,8795,32.36756338,0.140114292,1.805045509
ID42582,42582,13,5.378866196,10.010892,197.5602258,0,0,0,1.25,1,,215.4864865,213,198,251,7973,12.55348916,0.022035718,0.740195967
ID42710,42710,13,6.486713409,1.779636369,193.5354551,0,75,25,1.25,1,,63.43243243,66,10,80,2347,16.70252898,0.064294067,0.458847515
ID44630,44630,13,59.98981476,8.252806251,202.0528258,0,108,36,1.25,1,,243.1891892,255,153,255,8998,27.2282919,0.424842639,5.326170406
ID42844,42844,13,4.695223331,1.725628439,199.3037827,0,63,21,1.25,1,,62.91891892,65,30,68,2328,9.549224455,0.069759625,0.859332189
ID44764,44764,13,56.39206314,1.794907983,195.5819377,0,99,33,1.25,1,,205.5135135,230,64,255,7604,57.70933952,0.342151002,1.815685865
ID43230,43230,13,13.49709415,1.979389906,194.3930292,0,81,27,1.25,1,,102.7027027,109,19,126,3800,26.68943285,0.13956475,0.942560546
ID42339,42339,13,29.17948723,18.44757613,199.5610239,0,42,14,1.25,1,,236.2162162,254,171,255,8740,26.75935468,0.165344843,2.504956933
ID45668,45668,13,60.29041672,28.0123747,199.6014453,0,123,41,1.25,1,,229.6756757,250,137,255,8498,36.14327512,0.410737191,3.700286984
ID46949,46949,13,28.9242878,58.29076097,199.0405808,0,144,48,1.25,1,,129.0810811,123,89,180,4776,27.22170129,0.280039706,2.0747869
ID41446,41446,13,9.634912491,7.563454566,193.5354551,0,12,4,1.25,1,,155.3783784,151,118,207,5749,22.79662664,-0.015954298,-0.221010256
ID43878,43878,13,60.87742615,4.429774143,202.2912353,0,105,35,1.25,1,,243.6216216,255,192,255,9014,18.6403853,0.431620557,7.880706169
ID42087,42087,13,18.20652008,17.63246527,197.7483004,0,39,13,1.25,1,,146.0540541,139,99,201,5404,27.87466586,0.106786948,1.011085974
ID44013,44013,13,9.630953789,1.779636369,193.5354551,0,93,31,1.25,1,,108.4324324,111,15,162,4012,34.96231347,0.023094814,0.140019207
ID41710,41710,13,32.24814224,12.99252767,197.2221614,0,36,12,1.25,1,,228.3243243,255,108,255,8448,47.00712361,0.166572583,1.387107931
ID47470,47470,13,6.404454708,84.38862629,196.3533223,0,162,54,1.25,1,,90.48648649,90,83,101,3348,5.352162707,0.077722555,2.438509816
ID41841,41841,13,17.01135254,7.297411318,196.6418568,0,15,5,1.25,1,,135.7027027,128,99,192,5021,25.40654428,0.121471669,1.15706988
ID46450,46450,13,29.14487267,39.503697,199.8406089,0,132,44,1.25,1,,132.7027027,133,97,180,4910,25.44259865,0.283593325,2.304713001
