LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Track_1519,13,13,55,0,0,0,0,0,162,0,162,74.38752567,20.59600343,197.4662174,0,1.060295424,2.18624261,0,1.208795891,0.548957378,30.17868614,171.7678587,74.38752567,0.433070111,0.459182257,0.433070111,0.241051655
Track_1622,116,116,57,3,0,0,0,2,183,48,231,131.6238632,30.10604112,227.9726011,0,1.468683361,2.422360441,0.123774545,1.65184432,0.623725583,36.33487438,262.8819904,131.6238632,0.500695628,0.719256083,0.489728489,0.338659441
Track_1645,139,139,29,2,0,0,0,2,96,45,141,54.64763209,57.26023927,196.405207,0,1.32464066,2.192354565,0.173630955,1.421680687,0.475511252,28.00980482,121.1489001,54.64763209,0.451078235,0.569246168,0.429736294,0.417961434
Track_1666,160,160,60,3,0,0,0,2,189,69,258,115.1499657,27.32060719,253.4622783,0,1.339367305,2.841030322,0.0896182,1.393148283,0.550470383,48.50689362,245.5550248,115.1499657,0.468937525,0.609259078,0.454885732,0.315929472
Track_1668,162,162,47,1,0,0,0,2,144,72,216,119.0804483,52.49157474,243.4556737,0,1.639671393,2.595680273,0.259319475,1.785081281,0.55491257,36.07148825,234.2578671,119.0804483,0.508330626,0.826947557,0.50433737,0.302935744
Track_1675,169,169,53,2,0,0,0,2,165,69,234,191.1378217,112.6092326,282.7842682,0,1.550314603,2.364345097,0.218237919,1.634793488,0.39805413,40.21751378,248.6277468,191.1378217,0.768771081,1.158411041,0.747210301,0.181399166
Track_1682,176,176,46,1,0,0,0,2,141,72,213,130.7076526,104.2894515,202.997849,0,1.615768847,2.598257427,0.372824252,1.677218095,0.560123884,35.78306357,220.3657399,130.7076526,0.593139626,0.927004628,0.573723544,0.227205473
Track_1691,185,185,32,5,0,0,0,2,117,75,192,107.237677,122.1594314,216.3112621,0,1.843802268,2.593111657,0.572513258,1.888954516,0.485265254,32.45912479,199.7239397,107.237677,0.53692951,0.916561342,0.497103924,0.22979211
Track_1707,201,201,39,0,0,0,0,0,114,84,198,153.3065154,66.27998792,203.3125522,0,1.458355576,2.322289352,0.346459736,1.479396819,0.40499684,46.04101349,166.2525357,153.3065154,0.922130389,1.344793995,0.922130389,0.087786352
Track_1737,231,231,12,1,0,0,0,2,39,81,120,56.33667469,25.12089973,216.6277131,0,1.879795682,2.639055215,0.078241168,2.269388724,0.843241725,47.12065506,62.5027045,56.33667469,0.901347792,1.44453012,0.7684506,0.221845502
