LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
ID344685 _ ID343798,3,344685,343798,3.483850898,1.294590927,1.866507674,1.866507674,6.5,99.38075947,203.4798007,0,
ID342957 _ ID344578,3,342957,344578,4.076290251,2.840906403,2.018982479,2.018982479,12.5,105.2479386,209.055198,0,
ID343689 _ ID344685,3,343689,344685,11.12460792,2.290666646,3.335357241,3.335357241,5.5,98.87224494,205.5395075,0,
ID344307 _ ID343077,3,344307,343077,13.63012075,1.224954979,3.691899341,3.691899341,8.5,102.1113167,204.5254722,0,
ID342711 _ ID343432,3,342711,343432,2.200075767,2.660923274,1.483265238,1.483265238,2.5,98.82751356,207.7843673,0,
ID343077 _ ID343945,3,343077,343945,6.917279111,0.27563792,2.630072073,2.630072073,9.5,103.9065302,207.0917482,0,
ID343205 _ ID344822,3,343205,344822,18.17887995,0.461314886,4.263669775,4.263669775,15.5,111.6190246,204.3309291,0,
ID344194 _ ID342711,3,344194,342711,3.108103767,0.412760831,1.762981499,1.762981499,1.5,99.1948746,207.9653727,0,
ID344953 _ ID343561,3,344953,343561,39.77893148,0.368754325,6.307054105,6.307054105,17.5,119.4158756,201.4846449,0,
ID344073 _ ID343205,3,344073,343205,10.87204324,0.390458541,3.297278156,3.297278156,14.5,108.3810341,206.0838178,0,
ID344822 _ ID344953,3,344822,344953,9.768447603,0.111901095,3.125451584,3.125451584,16.5,115.1948949,203.4246964,0,
ID343316 _ ID343689,3,343316,343689,3.635484643,3.138653458,1.90669469,1.90669469,4.5,99.7767804,206.4201139,0,
ID342819 _ ID344194,3,342819,344194,9.152987361,NaN,3.025390448,3.025390448,0.5,100.8365923,206.2881969,0,
ID345094 _ ID342957,3,345094,342957,1.553935026,2.409705132,1.246569303,1.246569303,11.5,104.9267651,208.7350994,0,
ID343432 _ ID343316,3,343432,343316,3.517703327,0.097471908,1.875554139,1.875554139,3.5,99.78846395,206.4094532,0,
ID343798 _ ID344307,3,343798,344307,1.065550959,0.321105871,1.032255278,1.032255278,7.5,100.7226589,202.9790289,0,
ID344578 _ ID344073,3,344578,344073,5.819144463,1.511739006,2.412290294,2.412290294,13.5,106.6867956,208.3154134,0,
ID343945 _ ID345094,3,343945,345094,1.074324711,0.003629241,1.036496363,1.036496363,10.5,105.1860989,208.4046175,0,
ID343125 _ ID344742,22,343125,344742,23.68595521,0.505281909,4.86682188,4.86682188,15.5,37.69175581,39.38059583,0,
ID343616 _ ID344618,22,343616,344618,6.313954922,1.096029808,2.512758429,2.512758429,5.5,14.08358002,40.34824836,0,
ID344618 _ ID343739,22,344618,343739,14.41124072,1.445924584,3.796213998,3.796213998,6.5,16.29616094,41.28623122,0,
ID342871 _ ID344491,22,342871,344491,12.24425167,0.953801757,3.499178714,3.499178714,12.5,29.08836568,39.97194639,0,
ID343255 _ ID343616,22,343255,343616,2.928718675,0.656713053,1.711349957,1.711349957,4.5,12.91168225,38.96253447,0,
ID343001 _ ID343854,22,343001,343854,6.998597491,2.248846627,2.645486248,2.645486248,9.5,20.3298151,41.2105534,0,
ID342753 _ ID344118,22,342753,344118,3.384202329,NaN,1.839620159,1.839620159,0.5,8.205522849,37.85219469,0,
ID343368 _ ID343255,22,343368,343255,4.283154368,1.628447228,2.069578307,2.069578307,3.5,11.14278512,39.23915508,0,
ID345004 _ ID342871,22,345004,342871,7.451564496,1.108378865,2.729755391,2.729755391,11.5,26.33642967,39.63415515,0,
ID342639 _ ID343368,22,342639,343368,3.670826989,0.880497476,1.915940236,1.915940236,2.5,9.844196078,38.80564983,0,
ID344491 _ ID343125,22,344491,343125,22.06887885,0.224493609,2.348876266,4.697752532,14,33.0840172,39.83940457,0,
ID344118 _ ID342639,22,344118,342639,4.423689423,2.802435392,2.103256861,2.103256861,1.5,8.471165765,37.61341968,0,
ID343739 _ ID344239,22,343739,344239,12.01520153,0.654319365,3.466295073,3.466295073,7.5,19.68717321,41.85907652,0,
ID344239 _ ID343001,22,344239,343001,4.922596729,3.037128866,2.218692572,2.218692572,8.5,20.18043052,42.26747282,0,
ID343854 _ ID345004,22,343854,345004,17.38070353,0.041678348,4.169017094,4.169017094,10.5,23.37955593,39.69277348,0,
ID344742 _ ID344872,22,344742,344872,0.56255357,3.100570369,0.750035712,0.750035712,16.5,39.63276761,38.69430815,0,
ID343357 _ ID343246,23,343357,343246,11.23300145,1.448696546,3.351567013,3.351567013,3.5,61.6671671,28.97886606,0,
ID344609 _ ID343730,23,344609,343730,6.183831731,1.063832758,2.486731134,2.486731134,6.5,65.61110862,29.04306918,0,
ID345909 _ ID345383,23,345909,345383,1.392219706,0.92173995,1.179923602,1.179923602,24.5,89.74272368,32.83404024,0,
ID345383 _ ID345645,23,345383,345645,0.928002229,2.898724882,0.963328723,0.963328723,25.5,89.90738531,32.79806836,0,
ID343845 _ ID344994,23,343845,344994,3.412972457,2.609525137,1.847423194,1.847423194,10.5,65.84141097,29.78115051,0,
ID343978 _ ID343111,23,343978,343111,2.855545109,1.040439894,1.689835823,1.689835823,14.5,67.9257286,29.62387505,0,
ID345645 _ ID346445,23,345645,346445,4.312972794,3.007621883,2.076769798,2.076769798,26.5,90.19634513,33.28325223,0,
ID342989 _ ID343845,23,342989,343845,1.202412845,1.806654027,1.09654587,1.09654587,9.5,66.26415332,29.46136109,0,
ID343471 _ ID344358,23,343471,344358,3.347843234,1.063966079,1.829711243,1.829711243,18.5,77.94044179,31.45980254,0,
ID344479 _ ID343978,23,344479,343978,1.94137019,2.992951352,1.39333061,1.39333061,13.5,68.72796249,28.55095812,0,
ID344867 _ ID343471,23,344867,343471,19.74637786,1.462232005,4.443689668,4.443689668,17.5,75.34277544,32.45931863,0,
ID342857 _ ID344479,23,342857,344479,2.329079305,0.193691881,1.526132139,1.526132139,12.5,68.63444014,28.46501422,0,
ID343111 _ ID344732,23,343111,344732,8.39713858,1.634672579,2.897781665,2.897781665,15.5,69.21673602,30.61895457,0,
ID345255 _ ID345510,23,345255,345510,4.608645838,0.43695228,2.146775684,2.146775684,21.5,82.4509452,33.23687076,0,
ID343730 _ ID344226,23,343730,344226,4.970870537,1.803020825,2.229544917,2.229544917,7.5,66.97282429,28.49862646,0,
ID346993 _ ID345909,23,346993,345909,12.83862524,0.462900317,3.583102739,3.583102739,23.5,87.57316702,33.19243433,0,
ID343604 _ ID344609,23,343604,344609,1.162879236,1.631338694,1.078368785,1.078368785,5.5,64.05131129,28.80917795,0,
ID344732 _ ID344867,23,344732,344867,17.80629808,0.690463851,4.219750951,4.219750951,16.5,72.1211416,32.30087247,0,
ID342628 _ ID343357,23,342628,343357,1.976533009,3.042317801,1.405892247,1.405892247,2.5,60.01367607,29.90369055,0,
ID344226 _ ID342989,23,344226,342989,5.406644937,2.688998743,2.325219331,2.325219331,8.5,66.49179475,28.32007255,0,
ID345510 _ ID346993,23,345510,346993,6.126465757,0.309605465,2.475169844,2.475169844,22.5,84.67558342,33.75190322,0,
ID343246 _ ID343604,23,343246,343604,2.852498967,1.906959373,1.688934269,1.688934269,4.5,63.16775322,28.39921377,0,
ID344358 _ ID345132,23,344358,345132,1.765265777,0.554986377,1.328633048,1.328633048,19.5,79.16213773,32.36468114,0,
ID344994 _ ID342857,23,344994,342857,10.35319308,2.838257439,3.217637811,3.217637811,11.5,66.40460734,29.24461102,0,
ID344112 _ ID342628,23,344112,342628,0.291995373,NaN,0.540365962,0.540365962,1.5,59.66051261,29.64986035,0,
ID345132 _ ID345255,23,345132,345255,3.679950282,1.003716677,1.918319651,1.918319651,20.5,80.50130003,32.86717877,0,
ID346445 _ ID346312,23,346445,346312,6.926233737,0.575984177,2.631773877,2.631773877,27.5,92.06488202,34.55220756,0,
ID343844 _ ID344993,25,343844,344993,2.736925826,0.660748016,1.654365687,1.654365687,10.5,13.56466561,29.28521081,0,
ID344230 _ ID342991,25,344230,342991,2.581351919,2.638665992,1.606658619,1.606658619,8.5,12.54872181,31.12012744,0,
ID342629 _ ID343358,25,342629,343358,2.784139344,2.895289976,1.668574045,1.668574045,2.5,16.35504002,30.91762335,0,
ID345253 _ ID345504,25,345253,345504,0.082924314,3.046559456,0.287965821,0.287965821,21.5,15.38246507,29.57324165,0,
ID346441 _ ID346305,25,346441,346305,0.40993268,2.439935901,0.640259854,0.640259854,27.5,22.4243389,31.00397466,0,
ID350063 _ ID350348,25,350063,350348,20.74434819,1.523065189,4.554596381,4.554596381,57.5,67.83762177,28.02123485,0,
ID343470 _ ID344354,25,343470,344354,4.040053038,0.293934384,2.009988318,2.009988318,18.5,15.20056254,28.9496071,0,
ID348451 _ ID349038,25,348451,349038,2.846003472,1.221258338,1.687010217,1.687010217,51.5,64.98617781,27.11159499,0,
ID348318 _ ID348751,25,348318,348751,2.753514687,0.678262775,1.659371775,1.659371775,45.5,52.31847308,30.65229049,0,
ID342749 _ ID344114,25,342749,344114,1.26494163,NaN,1.124696239,1.124696239,0.5,16.12764336,31.98294313,0,
ID347248 _ ID347516,25,347248,347516,3.817897,0.392114405,1.95394396,1.95394396,37.5,37.00185443,28.07929195,0,
ID345904 _ ID345376,25,345904,345376,1.041308017,0.745268358,1.020445009,1.020445009,24.5,20.08382932,28.93829347,0,
ID348751 _ ID349187,25,348751,349187,45.27927063,1.098552523,6.728987341,6.728987341,46.5,56.12890362,30.48371608,0,
ID349332 _ ID349631,25,349332,349631,13.31023669,1.325808574,3.648319708,3.648319708,53.5,67.65776574,30.87424921,0,
ID346849 _ ID347112,25,346849,347112,0.336955711,0.7273347,0.580478863,0.580478863,29.5,25.94370101,30.33518887,0,
ID346031 _ ID346574,25,346031,346574,1.911874275,1.286431226,1.382705419,1.382705419,32.5,32.30398906,30.79974533,0,
ID344354 _ ID345128,25,344354,345128,0.440238348,0.061850741,0.663504595,0.663504595,19.5,14.6498004,27.73211907,0,
ID345128 _ ID345253,25,345128,345253,6.028864907,3.068170891,2.455374698,2.455374698,20.5,14.97488062,28.56831108,0,
ID347787 _ ID348187,25,347787,348187,3.276746506,0.006970248,1.810178584,1.810178584,40.5,44.23995121,29.96562581,0,
ID347516 _ ID347646,25,347516,347646,0.811454495,0.155209945,0.90080769,0.90080769,38.5,38.39387332,27.78078566,0,
ID343358 _ ID343250,25,343358,343250,2.547276253,2.908456516,1.596018876,1.596018876,3.5,16.24877921,31.07901504,0,
ID345376 _ ID345641,25,345376,345641,5.511340019,2.432041889,2.347624335,2.347624335,25.5,20.69482074,29.53505709,0,
ID343112 _ ID344731,25,343112,344731,2.259831144,1.358881373,1.503273476,1.503273476,15.5,15.63067479,30.66970415,0,
ID347927 _ ID348318,25,347927,348318,7.955796424,0.704509226,2.820602139,2.820602139,44.5,50.38954031,29.76980186,0,
ID346990 _ ID345904,25,346990,345904,4.231383342,0.850190759,2.057032654,2.057032654,23.5,19.03121809,29.92899969,0,
ID344608 _ ID343729,25,344608,343729,1.927343229,1.903874702,1.388287877,1.388287877,6.5,13.30533329,28.6457582,0,
ID345641 _ ID346441,25,345641,346441,2.436440484,0.723334347,1.560910146,1.560910146,26.5,21.85186749,30.95689461,0,
ID348896 _ ID348451,25,348896,348451,0.818618503,0.545537347,0.904775388,0.904775388,50.5,63.91069375,26.96719301,0,
ID344114 _ ID342629,25,344114,342629,1.81200346,0.940926218,1.346106779,1.346106779,1.5,16.1131176,30.88071041,0,
ID344483 _ ID343981,25,344483,343981,3.409474472,2.679490715,1.846476231,1.846476231,13.5,14.20656709,31.5085963,0,
ID344993 _ ID342859,25,344993,342859,5.236395856,1.391939019,2.288317254,2.288317254,11.5,14.86971595,30.07699559,0,
