LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID343077,343077,3,33.10954285,102.9896461,206.1490693,0,9,9,1.5,1,,111.5945946,93,25,255,4129,74.18874557,0.838434885,1.372006643
ID343205,343205,3,19.97078705,109.5796076,204.9518141,0,15,15,1.5,1,,60,38,1,186,2220,51.39066063,0.894879314,1.102757347
ID345094,345094,3,20.54563332,105.5487835,208.7748081,0,11,11,1.5,1,,76.91891892,52,3,255,2846,70.20659132,0.685017159,0.8908045
ID342819,342819,3,31.76276779,101.7197939,205.0601082,0,0,0,1.5,1,,91.97297297,52,5,255,3403,87.45490472,0.825608798,0.951201753
ID344194,344194,3,21.11719894,99.95339071,207.5162856,0,1,1,1.5,1,,74.56756757,40,1,255,2759,79.85596079,0.70003565,0.769014913
ID344578,344578,3,9.810860634,106.1911307,209.4150054,0,13,13,1.5,1,,43.02702703,40,9,102,1592,24.52264995,0.529697602,1.215140112
ID344685,344685,3,29.53445435,98.54918834,203.9034187,0,6,6,1.5,1,,81.97297297,25,3,255,3033,92.73513253,0.886571143,0.830800576
ID342957,342957,3,31.87999535,104.3047466,208.6953907,0,12,12,1.5,1,,106.6216216,73,17,255,3945,79.32435221,0.769440862,1.16898231
ID343689,343689,3,42.75967407,99.19530154,207.1755962,0,5,5,1.5,1,,128.4324324,114,7,255,4752,93.18277754,0.820764399,1.242607039
ID343945,343945,3,30.795578,104.8234142,208.034427,0,10,10,1.5,1,,99.40540541,62,11,255,3678,79.85662829,0.782970163,1.09327688
ID344073,344073,3,14.98771763,107.1824606,207.2158215,0,14,14,1.5,1,,53.86486486,34,5,168,1993,44.10792456,0.705725386,1.010521537
ID343561,343561,3,35.27622223,122.1004032,199.8299411,0,18,18,1.5,1,,100.7027027,75,0,255,3726,91.92444508,0.923986951,1.052213382
ID343432,343432,3,26.32036781,99.21866864,207.1542747,0,3,3,1.5,1,,75.64864865,27,0,255,2799,88.43146003,0.790075237,0.75512968
ID343316,343316,3,22.52795029,100.3582593,205.6646316,0,4,4,1.5,1,,75.72972973,46,1,255,2802,74.86048084,0.829510582,0.91734098
ID342711,342711,3,17.92948151,98.43635848,208.4144599,0,2,2,1.5,1,,59.89189189,29,1,255,2216,73.63905357,0.785559095,0.715639762
ID343798,343798,3,28.39804268,100.2123306,203.0561827,0,7,7,1.5,1,,82.94594595,38,1,255,3069,93.68473905,0.862245174,0.81987987
ID344822,344822,3,29.29656029,113.6584416,203.7100441,0,16,16,1.5,1,,82.86486486,34,3,255,3066,89.17621823,0.895279243,0.877883084
ID344307,344307,3,25.14459419,101.2329873,202.9018751,0,8,8,1.5,1,,87.56756757,58,7,230,3240,60.86439414,0.864633219,1.334284615
ID344953,344953,3,29.76663017,116.7313481,203.1393488,0,17,17,1.5,1,,79.43243243,23,1,255,2939,94.21327476,0.881880508,0.790193509
ID344742,344742,22,10.68745041,39.97986033,38.5523045,0,16,16,1.5,1,,33.35135135,25,1,106,1234,30.44869658,0.843638614,1.002433055
ID342753,342753,22,13.4766531,8.94554762,38.39846744,0,0,0,1.5,1,,54.32432432,21,1,255,2010,77.06636896,0.834085043,0.641136196
ID343616,343616,22,16.77656746,13.74935296,39.13714102,0,5,5,1.5,1,,52.78378378,11,0,255,1953,81.99699694,0.87729796,0.601653544
ID345004,345004,22,16.05372047,25.26051108,38.79433951,0,11,11,1.5,1,,55.32432432,25,0,255,2047,72.45652108,0.90599706,0.725893986
ID342639,342639,22,13.51328468,9.476833452,37.92091742,0,2,2,1.5,1,,46.97297297,31,1,174,1738,46.97545842,0.726445149,0.841505696
ID344239,344239,22,16.60753441,21.19983164,42.70504631,0,8,8,1.5,1,,54.56756757,31,1,255,2019,61.36889392,0.910471569,0.847504678
ID343854,343854,22,19.05240059,21.49860078,40.59120746,0,10,10,1.5,1,,57.45945946,17,1,255,2126,84.35526546,0.906616531,0.647798018
ID343368,343368,22,13.53881836,10.2115587,39.69038225,0,3,3,1.5,1,,48.37837838,29,7,197,1790,46.47122847,0.823394162,0.940208932
ID344872,344872,22,9.835446358,39.28567489,38.83631181,0,17,17,1.5,1,,33.48648649,25,5,106,1239,25.86999723,0.862907773,1.199157483
ID344491,344491,22,13.37234688,30.76438311,39.46992199,0,13,13,1.5,1,,43.13513514,32,1,153,1596,39.68218335,0.884535909,1.020414568
ID344618,344618,22,11.15316582,14.41780709,41.55935571,0,6,6,1.5,1,,39.10810811,31,7,120,1447,28.31743062,0.83879459,1.25998496
ID343125,343125,22,17.46108246,35.4036513,40.20888715,0,15,15,1.5,1,,59.72972973,34,1,255,2210,69.31516134,0.936994466,0.833683013
