LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
ID602838_ID606308,0,602838,606308,10.01522918,0.620613405,3.164684689,3.164684689,18.5,261.2823639,135.1375085,0,
ID604816_ID600707,0,604816,600707,1.058290963,0.022906993,1.028732698,1.028732698,14.5,265.6156629,129.1693261,0,
ID608306_ID603332,0,608306,603332,4.801554128,2.063385933,2.191244881,2.191244881,6.5,280.2938271,123.9719176,0,
ID600707_ID601367,0,600707,601367,5.08560942,0.087923331,2.25512958,2.25512958,15.5,265.2298814,130.7638887,0,
ID603833_ID602838,0,603833,602838,3.99092828,1.782035738,1.997730783,1.997730783,17.5,261.7916446,132.726328,0,
ID603332_ID602064,0,603332,602064,0.436330611,0.045849639,0.660553261,0.660553261,7.5,280.8010385,125.3042705,0,
ID613306_ID611311,0,613306,611311,1.925474603,3.043405439,1.387614717,1.387614717,24.5,257.1631187,135.0326154,0,
ID602131_ID606942,0,602131,606942,0.615198023,0.708165337,0.784345602,0.784345602,3.5,284.8824056,122.0663125,0,
ID611311_ID618320,0,611311,618320,2.504739663,2.889823276,1.582636933,1.582636933,25.5,257.0828246,135.2267266,0,
ID602064_ID605301,0,602064,605301,16.3224696,1.804732148,4.040107622,4.040107622,8.5,278.9367402,125.9404924,0,
ID610314_ID613306,0,610314,613306,5.649179355,3.080572098,2.376800235,2.376800235,23.5,257.6470038,135.1683349,0,
ID606942_ID607203,0,606942,607203,4.870503507,0.069106599,2.206921726,2.206921726,4.5,283.5680699,122.7786156,0,
ID607203_ID608306,0,607203,608306,7.393404065,0.654216261,2.719081474,2.719081474,5.5,281.2612624,123.1328878,0,
ID599885_ID604816,0,599885,604816,1.94647847,1.141985705,1.395162525,1.395162525,13.5,265.9864485,128.0155728,0,
ID606308_ID615867,0,606308,615867,0.017778695,1.434434155,0.133336775,0.133336775,19.5,260.5361597,136.5446732,0,
ID617369_ID619336,0,617369,619336,1.158811031,0.462992822,1.076480855,1.076480855,21.5,258.6165236,135.603512,0,
ID619336_ID610314,0,619336,610314,0.349827999,2.533076676,0.591462593,0.591462593,22.5,258.5342435,135.2730802,0,
