LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Track_7386,0,0,26,1,0,0,0,1,26,0,26,31.72867517,270.4121646,129.1477128,0,1.907104178,4.040107622,0.133336775,2.110278773,1.01764153,43.87164021,50.16381039,31.72867517,0.632501298,1.22033366,0.639888305,1.101284265
Track_7392,6,6,13,2,0,0,0,1,14,0,14,20.68842088,347.9360365,115.308489,0,2.541207629,4.549193298,0.545148707,2.485323778,1.255121811,10.88699491,36.7344656,20.68842088,0.56318829,1.477744349,0.581512637,1.108764778
Track_7397,11,11,27,0,0,0,0,0,26,0,26,27.30366561,132.9149329,133.8728153,0,2.377498419,5.706990631,0.288189743,2.128443306,1.44511619,33.17434249,61.81495889,27.30366561,0.441699972,1.050140985,0.441699972,1.617053457
Track_7398,12,12,18,1,0,0,0,1,18,0,18,17.36157036,220.311788,126.8004317,0,2.327639108,5.56975526,0.584860938,2.323984378,1.373095743,20.66024348,41.89384922,17.36157036,0.414418123,0.964531687,0.414381973,1.364269668
Track_7400,14,14,32,0,0,0,0,0,31,0,31,26.6282585,120.1215298,135.2330754,0,2.230515383,5.05743079,0.516687692,2.462783468,1.123198244,33.01393947,69.14597688,26.6282585,0.385102065,0.858976081,0.385102065,1.43407046
Track_7403,17,17,12,0,0,0,0,0,11,0,11,12.88913221,286.781089,123.3972242,0,2.493279832,4.249140373,1.09976975,2.273840497,1.134480716,21.73940063,27.42607816,12.88913221,0.469958998,1.171739292,0.469958998,1.196416368
Track_7406,20,20,28,2,0,0,0,1,29,0,29,42.44925138,150.0559346,122.6055289,0,2.694540189,5.142391813,0.603387946,2.347766647,1.508040139,30.78297671,77.77353703,46.89867261,0.545805849,1.463767289,0.543234536,1.264853128
Track_7408,22,22,39,0,0,0,0,0,38,0,38,46.33202405,382.4993399,116.2979013,0,2.36378465,5.036461356,0.408346966,2.103139757,1.031614037,31.59844455,89.8238167,46.33202405,0.515810013,1.219263791,0.515810013,1.467660746
Track_7409,23,23,17,1,0,0,0,1,17,0,17,19.87679112,373.3245877,137.2041738,0,2.877005591,8.579217865,0.610521541,2.350850121,1.915374677,26.4908783,47.44882798,19.87679112,0.418910055,1.169223007,0.406402758,1.698645769
Track_7411,25,25,10,0,0,0,0,0,9,0,9,19.1689514,254.1379471,138.3998273,0,3.074303442,5.594311278,0.38109558,2.912251783,1.386067339,29.95474944,27.66873098,19.1689514,0.692801973,2.129883489,0.692801973,1.00667812
Track_7413,27,27,16,0,0,0,0,0,15,0,15,17.40088353,305.4786233,135.6883142,0,2.213586431,4.212125449,0.618724187,2.091356138,1.158309242,27.73510236,33.20379647,17.40088353,0.52406307,1.160058902,0.52406307,1.563578564
Track_7414,28,28,12,0,0,0,0,0,11,0,11,12.56089738,342.9372559,135.2100048,0,2.693896984,6.068627187,1.026105997,2.974730733,1.645091469,26.19500693,29.63286682,14.03937465,0.423883975,1.141899762,0.423883975,1.629053761
Track_7417,31,31,10,1,0,0,0,1,10,0,10,15.19709153,409.7937374,126.4259497,0,2.61587988,3.67707576,1.412233245,2.52651842,0.81159863,16.96348648,25.19605759,15.19709153,0.603153548,1.519709153,0.580955251,1.248255298
Track_7420,34,34,12,0,0,0,0,0,11,0,11,13.67076821,78.83986453,138.5600663,0,1.92278026,3.720040373,0.622820519,1.675220392,0.992511713,42.64555482,21.15058286,15.31351269,0.646354207,1.24279711,0.646354207,1.27834187
Track_7428,42,42,39,1,0,0,0,1,39,1,40,30.10717423,405.9874663,130.4779436,0,1.957868748,4.96772678,0.212823113,1.502771288,1.336512071,28.82953764,75.35458012,30.10717423,0.39954007,0.771978826,0.394295495,1.915285827
Track_7429,43,43,51,2,0,0,0,1,52,0,52,71.59499561,204.4430236,140.9460341,0,2.361116686,7.432498672,0.452138876,2.222586827,1.499041719,33.42064387,124.4241086,71.59499561,0.575410959,1.376826839,0.583125284,1.444802175
Track_7430,44,44,34,0,0,0,0,0,33,0,33,36.5648194,26.23641826,138.0859742,0,2.275977574,4.69187095,0.357565783,2.231082854,1.204723703,29.4368998,75.10725993,39.0847575,0.486834687,1.10802483,0.486834687,1.236720981
