LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,¦Ã rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(?m/frame),(?m),(frame),(?m),(?m),(?m),
ID101304 ¡ú ID102196,1,101304,102196,5.27226628840933,0.3318315761274918,2.296141608962594,2.296141608962594,8.5,277.3357039846446,174.11435947738065,0.0,
ID108783 ¡ú ID114029,1,108783,114029,28.692635660295764,1.1455616966096605,5.3565507241410275,5.3565507241410275,19.5,291.49269410776037,181.50690319210682,0.0,
ID107430 ¡ú ID107874,1,107430,107874,7.320630661470517,0.7463233276582332,2.705666398776929,2.705666398776929,4.5,267.8203533691627,169.51990652094307,0.0,
ID106260 ¡ú ID101757,1,106260,101757,0.038240506678671994,3.0946936290544915,0.19555180049969367,0.19555180049969367,14.5,284.34748247276207,177.04547115801574,0.0,
ID110641 ¡ú ID114490,1,110641,114490,6.7562330767196865,1.0663965859485818,2.5992754907319244,2.5992754907319244,21.5,294.35976347311436,186.64159677398857,0.0,
ID107874 ¡ú ID108321,1,107874,108321,13.97549436787359,0.2499412592042109,3.738381249668577,3.738381249668577,5.5,270.0720411557274,171.79019077886863,0.0,
ID104378 ¡ú ID103526,1,104378,103526,5.632781240369974,0.8351810527878963,2.37334810770986,2.37334810770986,17.5,285.8079104262314,180.37046602810176,0.0,
ID101757 ¡ú ID103329,1,101757,103329,1.4127988419428512,2.0759009483132127,1.1886121495016158,1.1886121495016158,15.5,284.3095573247102,177.59781518920767,0.0,
ID106588 ¡ú ID102728,1,106588,102728,1.0130923923895756,0.2841504650026372,1.0065249089762138,1.0065249089762138,10.5,281.43791071769135,174.61067210168903,0.0,
ID104816 ¡ú ID105257,1,104816,105257,3.009789961225012,1.6524648881389294,1.7348746240650972,1.7348746240650972,12.5,283.28915250005986,175.58072168435064,0.0,
ID103526 ¡ú ID108783,1,103526,108783,15.26423384945409,1.9383644598164145,3.906946870569664,3.906946870569664,18.5,287.66820431549934,180.68276314890767,0.0,
ID102196 ¡ú ID106588,1,102196,106588,6.45263769897021,0.3668452096871766,2.540204263237547,2.540204263237547,9.5,279.7057091236032,174.3056534460902,0.0,
ID114029 ¡ú ID110641,1,114029,110641,7.370802912978301,0.9881875866288358,2.714922266470681,2.714922266470681,20.5,293.42973068466245,184.55065972006088,0.0,
ID100857 ¡ú ID101304,1,100857,101304,3.427378038887282,0.07409981718481538,1.8513179194528642,1.8513179194528642,7.5,275.29142625627026,174.04131920788936,0.0,
ID102728 ¡ú ID104816,1,102728,104816,2.247426803676612,0.11620034935513006,1.4991420225170835,1.4991420225170835,11.5,282.6877121947721,174.66067330850538,0.0,
ID103329 ¡ú ID104378,1,103329,104378,2.7833232025521952,0.8421081307582607,1.6683294646298719,1.6683294646298719,16.5,285.0290177012853,178.68943674908166,0.0,
ID105668 ¡ú ID100389,1,105668,100389,4.94564413613721,NaN,2.223880423075218,2.223880423075218,0.5,260.6198247168667,165.5828002958263,0.0,
ID108321 ¡ú ID100857,1,108321,100857,8.977934636447909,0.3909822779950061,2.9963201825652592,2.9963201825652592,6.5,272.9539816037532,173.40599233542162,0.0,
ID105257 ¡ú ID106260,1,105257,106260,2.093411743016759,1.273730335161058,1.4468627243165673,1.4468627243165673,13.5,283.7903274410189,176.76055260793174,0.0,
ID100389 ¡ú ID103936,1,100389,103936,21.08615830724203,0.36249544085383856,2.2959833572590433,4.591966714518087,2.0,263.5939904225579,166.80105816254863,0.0,
ID103936 ¡ú ID107430,1,103936,107430,2.503506634587109,0.4319610640863494,1.5822473367293461,1.5822473367293461,3.5,266.23945131950984,168.28365040645232,0.0,
ID105687 ¡ú ID100402,3,105687,100402,24.081221315578542,NaN,4.907262099743455,4.907262099743455,0.5,83.0051157193704,172.23292269007504,0.0,
ID108323 ¡ú ID100854,3,108323,100854,2.1480035783660445,0.11478759833517949,1.465606897625023,1.465606897625023,6.5,92.1968188318441,173.4295546543388,0.0,
ID102194 ¡ú ID106589,3,102194,106589,11.450994971263153,1.3841750485422892,3.3839318804111813,3.3839318804111813,9.5,98.65689891882954,174.70767571096383,0.0,
