LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ¦Ã rate
,,,,,,,,,(frame),(frame),(frame),(?m),(?m),(?m),(?m),(?m/frame),(?m/frame),(?m/frame),(?m/frame),(?m/frame),(quality),(?m),(?m),,(?m/frame),,(rad/frame)
Track_5377,1,1,22,1,0,0,0,1,22.0,0.0,22.0,41.95184604192609,279.48876523087125,175.5946928395426,0.0,2.281956375897937,5.3565507241410275,0.19555180049969367,2.2959833572590433,1.120445877750616,17.70764502612027,50.217067251115715,41.95184604192609,0.8354101172842587,1.9069020928148221,0.8356435350629641,0.9133710050186117
Track_5379,3,3,36,1,0,0,0,1,36.0,0.0,36.0,47.36862872457417,108.30396025430393,175.89290675939742,0.0,2.244266845543663,6.059410927328515,0.40525649686588444,2.2163411754410487,1.3822490398698246,26.43546752134959,79.11388999220529,49.618133782444566,0.598739724835186,1.3157952423492825,0.5862917972352513,1.3860366283959566
Track_5388,12,12,36,0,0,0,0,0,35.0,3.0,38.0,35.918092846623765,401.85056819153135,187.00971847466175,0.0,2.1205946403143017,5.257075005514056,0.2235380045649761,2.208410304328043,1.2279849452759646,23.34642309612698,74.22081241100058,35.918092846623765,0.48393559272466535,1.0262312241892504,0.48393559272466546,1.2857303119918757
Track_5393,17,17,58,0,0,0,0,0,57.0,0.0,57.0,65.54239362230304,53.074354359825286,189.9944936679247,0.0,1.9663860188694748,5.151369511402621,0.30796626106561675,1.8467439071577663,1.054003200281696,27.97853501089688,112.08400307556005,65.54239362230304,0.584761355981535,1.1498665547772462,0.5847613559815349,1.2296969888123943
Track_5397,21,21,48,1,0,0,0,1,48.0,0.0,48.0,50.20856625091086,365.660240742285,200.9084431871236,0.0,2.1517533660801837,5.399554397943003,0.0,2.035326329020273,1.303033610012368,18.716286569833755,105.7823653469556,50.20856625091086,0.47464023030901015,1.0460117968939764,0.4861206741363115,1.2679025951231802
Track_5408,32,32,49,3,0,0,0,1,51.0,0.0,51.0,52.645750883168745,311.7887437251444,188.23836756843488,0.0,2.0337498553607167,5.227720504690336,0.6869645086512014,1.7281337818969353,0.9394954845443918,18.928437281628046,101.6879574521318,55.661744324926794,0.5177186384921834,1.0322696251601715,0.5075696120834303,1.2737647002516501
Track_5409,33,33,59,1,0,0,0,1,59.0,2.0,61.0,80.63314486972408,289.0850024620558,191.363868235636,0.0,2.3992056258398735,6.619837888932841,0.5534762443313348,2.221714946557302,1.2241319714527656,16.706069057270632,141.2563362172872,80.63314486972408,0.5708285166457265,1.3666634723682047,0.5696316554316957,1.169339890695485
Track_5433,57,57,26,1,0,0,0,1,26.0,0.0,26.0,38.95766287719935,47.913583463888095,15.096669545026707,0.0,2.421539159892321,5.558970479825477,0.8748950264902865,2.2772823355435348,1.3112902389904604,19.22803513820355,63.53073258372466,38.95766287719935,0.6132097221743599,1.4983716491230519,0.6187682916470698,1.3016428861448475
Track_5435,59,59,41,3,0,0,0,1,43.0,0.0,43.0,29.47842186391956,280.45722873817294,15.346825577805658,0.0,1.505243536570839,3.4012137432713527,0.02493603562444344,1.3847270791346167,0.9733103162250845,23.00834162642316,61.31797427381001,29.86258523628458,0.4807468317900762,0.6855446945097572,0.45543772675584876,1.4550812878853532
Track_5446,70,70,22,1,0,0,0,1,22.0,0.0,22.0,37.526516379360174,118.54857758736104,27.984034781642034,0.0,2.9433392214289524,6.442630551610602,0.42564450538173004,2.757651098030135,1.6527896093408099,8.285718354311856,64.27779852356709,37.559805486460085,0.5838176981995002,1.7057507445163715,0.5795291049355338,1.2770969071925276
